Tick: 65684000, Cache Block Addr: 480768, Byte Offset: 18, FaultType: bit_flip, Mask: 00000010
Tick: 66510000, Cache Block Addr: 469440, Byte Offset: 40, FaultType: bit_flip, Mask: 00000010
Tick: 75864000, Cache Block Addr: 479424, Byte Offset: 8, FaultType: bit_flip, Mask: 00000100
Tick: 80441000, Cache Block Addr: 485824, Byte Offset: 55, FaultType: bit_flip, Mask: 00010000
Tick: 87258000, Cache Block Addr: 416320, Byte Offset: 47, FaultType: bit_flip, Mask: 00010000
Tick: 88359000, Cache Block Addr: 471232, Byte Offset: 47, FaultType: bit_flip, Mask: 10000000
Tick: 95400000, Cache Block Addr: 479104, Byte Offset: 10, FaultType: bit_flip, Mask: 00000010
Tick: 138743000, Cache Block Addr: 500800, Byte Offset: 51, FaultType: bit_flip, Mask: 00000001
Tick: 171937000, Cache Block Addr: 501952, Byte Offset: 54, FaultType: bit_flip, Mask: 00000100
Tick: 199926000, Cache Block Addr: 460800, Byte Offset: 14, FaultType: bit_flip, Mask: 00000010
Tick: 201839000, Cache Block Addr: 512640, Byte Offset: 61, FaultType: bit_flip, Mask: 00000001
Tick: 210114000, Cache Block Addr: 500352, Byte Offset: 22, FaultType: bit_flip, Mask: 00010000
Tick: 214062000, Cache Block Addr: 518016, Byte Offset: 63, FaultType: bit_flip, Mask: 00000100
Tick: 238122000, Cache Block Addr: 527936, Byte Offset: 45, FaultType: bit_flip, Mask: 00000100
Tick: 247821000, Cache Block Addr: 483840, Byte Offset: 31, FaultType: bit_flip, Mask: 00100000
Tick: 261450000, Cache Block Addr: 473216, Byte Offset: 39, FaultType: bit_flip, Mask: 00000010
Tick: 266066000, Cache Block Addr: 478528, Byte Offset: 35, FaultType: bit_flip, Mask: 01000000
Tick: 273970000, Cache Block Addr: 478464, Byte Offset: 32, FaultType: bit_flip, Mask: 00000010
Tick: 294704000, Cache Block Addr: 514624, Byte Offset: 2, FaultType: bit_flip, Mask: 00000010
Tick: 315985000, Cache Block Addr: 518336, Byte Offset: 37, FaultType: bit_flip, Mask: 00000010
Tick: 317216000, Cache Block Addr: 471552, Byte Offset: 38, FaultType: bit_flip, Mask: 00001000
Tick: 325749000, Cache Block Addr: 478912, Byte Offset: 13, FaultType: bit_flip, Mask: 00000001
Tick: 330478000, Cache Block Addr: 470272, Byte Offset: 50, FaultType: bit_flip, Mask: 10000000
Tick: 339880000, Cache Block Addr: 484160, Byte Offset: 17, FaultType: bit_flip, Mask: 00000001
Tick: 342224000, Cache Block Addr: 485696, Byte Offset: 8, FaultType: bit_flip, Mask: 10000000
Tick: 369073000, Cache Block Addr: 504448, Byte Offset: 39, FaultType: bit_flip, Mask: 00000010
Tick: 369483000, Cache Block Addr: 506048, Byte Offset: 47, FaultType: bit_flip, Mask: 00010000
Tick: 380836000, Cache Block Addr: 516608, Byte Offset: 19, FaultType: bit_flip, Mask: 10000000
Tick: 383958000, Cache Block Addr: 524160, Byte Offset: 11, FaultType: bit_flip, Mask: 01000000
Tick: 401118000, Cache Block Addr: 524224, Byte Offset: 13, FaultType: bit_flip, Mask: 00100000
Tick: 414009000, Cache Block Addr: 528384, Byte Offset: 12, FaultType: bit_flip, Mask: 00000001
Tick: 424614000, Cache Block Addr: 476416, Byte Offset: 22, FaultType: bit_flip, Mask: 10000000
Tick: 425134000, Cache Block Addr: 489856, Byte Offset: 7, FaultType: bit_flip, Mask: 00001000
Tick: 425807000, Cache Block Addr: 473600, Byte Offset: 18, FaultType: bit_flip, Mask: 10000000
Tick: 435287000, Cache Block Addr: 500992, Byte Offset: 33, FaultType: bit_flip, Mask: 10000000
Tick: 457479000, Cache Block Addr: 523392, Byte Offset: 11, FaultType: bit_flip, Mask: 00100000
Tick: 475247000, Cache Block Addr: 479872, Byte Offset: 59, FaultType: bit_flip, Mask: 01000000
Tick: 477519000, Cache Block Addr: 477120, Byte Offset: 23, FaultType: bit_flip, Mask: 00000100
Tick: 481472000, Cache Block Addr: 526592, Byte Offset: 33, FaultType: bit_flip, Mask: 00000100
Tick: 492759000, Cache Block Addr: 472192, Byte Offset: 19, FaultType: bit_flip, Mask: 00000100
Tick: 499185000, Cache Block Addr: 470528, Byte Offset: 17, FaultType: bit_flip, Mask: 00100000
Tick: 502086000, Cache Block Addr: 497024, Byte Offset: 38, FaultType: bit_flip, Mask: 00000100
Tick: 505876000, Cache Block Addr: 504256, Byte Offset: 6, FaultType: bit_flip, Mask: 00000001
Tick: 509546000, Cache Block Addr: 506496, Byte Offset: 51, FaultType: bit_flip, Mask: 00000100
Tick: 532048000, Cache Block Addr: 506368, Byte Offset: 41, FaultType: bit_flip, Mask: 00010000
Tick: 539540000, Cache Block Addr: 522112, Byte Offset: 39, FaultType: bit_flip, Mask: 10000000
Tick: 547796000, Cache Block Addr: 474048, Byte Offset: 58, FaultType: bit_flip, Mask: 00001000
Tick: 577573000, Cache Block Addr: 484608, Byte Offset: 11, FaultType: bit_flip, Mask: 00100000
Tick: 579472000, Cache Block Addr: 486784, Byte Offset: 54, FaultType: bit_flip, Mask: 01000000
Tick: 595478000, Cache Block Addr: 516160, Byte Offset: 16, FaultType: bit_flip, Mask: 00000100
Tick: 597085000, Cache Block Addr: 499968, Byte Offset: 15, FaultType: bit_flip, Mask: 00000010
Tick: 597365000, Cache Block Addr: 519744, Byte Offset: 7, FaultType: bit_flip, Mask: 00000100
Tick: 598191000, Cache Block Addr: 518912, Byte Offset: 62, FaultType: bit_flip, Mask: 01000000
Tick: 600903000, Cache Block Addr: 513024, Byte Offset: 27, FaultType: bit_flip, Mask: 00000010
