Tick: 80367000, Cache Block Addr: 448192, Byte Offset: 46, FaultType: bit_flip, Mask: 00100000
Tick: 223317000, Cache Block Addr: 449152, Byte Offset: 47, FaultType: bit_flip, Mask: 00000010
Tick: 435699000, Cache Block Addr: 448832, Byte Offset: 42, FaultType: bit_flip, Mask: 00010000
Tick: 467485000, Cache Block Addr: 450368, Byte Offset: 61, FaultType: bit_flip, Mask: 00000010
Tick: 570535000, Cache Block Addr: 449344, Byte Offset: 35, FaultType: bit_flip, Mask: 00000100
Tick: 741477000, Cache Block Addr: 449152, Byte Offset: 13, FaultType: bit_flip, Mask: 00001000
Tick: 843111000, Cache Block Addr: 449472, Byte Offset: 13, FaultType: bit_flip, Mask: 10000000
Tick: 864416000, Cache Block Addr: 450496, Byte Offset: 57, FaultType: bit_flip, Mask: 00001000
Tick: 1026396000, Cache Block Addr: 448896, Byte Offset: 49, FaultType: bit_flip, Mask: 00000001
Tick: 1236766000, Cache Block Addr: 448704, Byte Offset: 7, FaultType: bit_flip, Mask: 00010000
Tick: 1242436000, Cache Block Addr: 449664, Byte Offset: 3, FaultType: bit_flip, Mask: 01000000
Tick: 1242954000, Cache Block Addr: 450560, Byte Offset: 40, FaultType: bit_flip, Mask: 00010000
Tick: 1398130000, Cache Block Addr: 449664, Byte Offset: 58, FaultType: bit_flip, Mask: 00010000
Tick: 1531670000, Cache Block Addr: 449152, Byte Offset: 35, FaultType: bit_flip, Mask: 00010000
Tick: 1803452000, Cache Block Addr: 449216, Byte Offset: 44, FaultType: bit_flip, Mask: 00000100
Tick: 1822297000, Cache Block Addr: 449280, Byte Offset: 57, FaultType: bit_flip, Mask: 00001000
Tick: 1828390000, Cache Block Addr: 449472, Byte Offset: 7, FaultType: bit_flip, Mask: 00010000
Tick: 2116905000, Cache Block Addr: 448832, Byte Offset: 31, FaultType: bit_flip, Mask: 00100000
Tick: 2146715000, Cache Block Addr: 449728, Byte Offset: 4, FaultType: bit_flip, Mask: 00000010
