run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,OK,0,5,-,2026-05-10T02:14:41+00:00,2026-05-10T02:14:46+00:00
3,OK,0,5,-,2026-05-10T02:14:43+00:00,2026-05-10T02:14:48+00:00
7,OK,0,5,-,2026-05-10T02:14:46+00:00,2026-05-10T02:14:51+00:00
8,OK,0,3,-,2026-05-10T02:14:48+00:00,2026-05-10T02:14:51+00:00
10,OK,0,5,-,2026-05-10T02:14:51+00:00,2026-05-10T02:14:56+00:00
2,CRASH,137,30,exit_137,2026-05-10T02:14:42+00:00,2026-05-10T02:15:12+00:00
4,CRASH,137,30,exit_137,2026-05-10T02:14:44+00:00,2026-05-10T02:15:14+00:00
5,CRASH,137,30,exit_137,2026-05-10T02:14:45+00:00,2026-05-10T02:15:15+00:00
6,CRASH,137,30,exit_137,2026-05-10T02:14:45+00:00,2026-05-10T02:15:15+00:00
9,CRASH,137,30,exit_137,2026-05-10T02:14:51+00:00,2026-05-10T02:15:21+00:00
