Tick: 54528000, Cache Block Addr: 416704, Byte Offset: 5, FaultType: bit_flip, Mask: 00000100
Tick: 57345000, Cache Block Addr: 477952, Byte Offset: 25, FaultType: bit_flip, Mask: 00100000
Tick: 63303000, Cache Block Addr: 422144, Byte Offset: 53, FaultType: bit_flip, Mask: 01000000
Tick: 63759000, Cache Block Addr: 475328, Byte Offset: 17, FaultType: bit_flip, Mask: 01000000
Tick: 67587000, Cache Block Addr: 481664, Byte Offset: 48, FaultType: bit_flip, Mask: 00000100
Tick: 76559000, Cache Block Addr: 472064, Byte Offset: 11, FaultType: bit_flip, Mask: 00001000
Tick: 76814000, Cache Block Addr: 418368, Byte Offset: 32, FaultType: bit_flip, Mask: 10000000
Tick: 89420000, Cache Block Addr: 411456, Byte Offset: 61, FaultType: bit_flip, Mask: 01000000
Tick: 118010000, Cache Block Addr: 486976, Byte Offset: 50, FaultType: bit_flip, Mask: 10000000
Tick: 123890000, Cache Block Addr: 479680, Byte Offset: 32, FaultType: bit_flip, Mask: 00000100
Tick: 134585000, Cache Block Addr: 499072, Byte Offset: 10, FaultType: bit_flip, Mask: 00001000
Tick: 134956000, Cache Block Addr: 490752, Byte Offset: 1, FaultType: bit_flip, Mask: 01000000
Tick: 147000000, Cache Block Addr: 495616, Byte Offset: 55, FaultType: bit_flip, Mask: 10000000
Tick: 156099000, Cache Block Addr: 458752, Byte Offset: 49, FaultType: bit_flip, Mask: 00001000
Tick: 160923000, Cache Block Addr: 494592, Byte Offset: 47, FaultType: bit_flip, Mask: 00000010
Tick: 163252000, Cache Block Addr: 487040, Byte Offset: 15, FaultType: bit_flip, Mask: 00010000
Tick: 168594000, Cache Block Addr: 489472, Byte Offset: 2, FaultType: bit_flip, Mask: 00000010
Tick: 172964000, Cache Block Addr: 498176, Byte Offset: 39, FaultType: bit_flip, Mask: 00100000
Tick: 189475000, Cache Block Addr: 518656, Byte Offset: 45, FaultType: bit_flip, Mask: 00001000
Tick: 190486000, Cache Block Addr: 504384, Byte Offset: 54, FaultType: bit_flip, Mask: 00100000
Tick: 228207000, Cache Block Addr: 509888, Byte Offset: 25, FaultType: bit_flip, Mask: 01000000
