Tick: 73381000, Cache Block Addr: 86272, Byte Offset: 0, FaultType: bit_flip, Mask: 00000010
Tick: 76911000, Cache Block Addr: 95040, Byte Offset: 24, FaultType: bit_flip, Mask: 00100000
Tick: 93485000, Cache Block Addr: 124352, Byte Offset: 18, FaultType: bit_flip, Mask: 00000001
Tick: 111893000, Cache Block Addr: 121920, Byte Offset: 40, FaultType: bit_flip, Mask: 00001000
Tick: 138385000, Cache Block Addr: 84480, Byte Offset: 54, FaultType: bit_flip, Mask: 00000001
Tick: 149748000, Cache Block Addr: 93376, Byte Offset: 35, FaultType: bit_flip, Mask: 00000010
Tick: 155365000, Cache Block Addr: 83136, Byte Offset: 28, FaultType: bit_flip, Mask: 00001000
Tick: 160386000, Cache Block Addr: 63936, Byte Offset: 25, FaultType: bit_flip, Mask: 10000000
Tick: 162328000, Cache Block Addr: 69120, Byte Offset: 38, FaultType: bit_flip, Mask: 00100000
Tick: 179430000, Cache Block Addr: 76480, Byte Offset: 34, FaultType: bit_flip, Mask: 00100000
Tick: 191972000, Cache Block Addr: 64320, Byte Offset: 1, FaultType: bit_flip, Mask: 10000000
Tick: 197973000, Cache Block Addr: 76160, Byte Offset: 53, FaultType: bit_flip, Mask: 00000001
Tick: 198044000, Cache Block Addr: 94400, Byte Offset: 62, FaultType: bit_flip, Mask: 00010000
Tick: 217673000, Cache Block Addr: 76032, Byte Offset: 42, FaultType: bit_flip, Mask: 01000000
Tick: 224954000, Cache Block Addr: 65856, Byte Offset: 2, FaultType: bit_flip, Mask: 01000000
Tick: 229628000, Cache Block Addr: 67008, Byte Offset: 1, FaultType: bit_flip, Mask: 10000000
Tick: 233525000, Cache Block Addr: 85120, Byte Offset: 6, FaultType: bit_flip, Mask: 00000001
Tick: 239902000, Cache Block Addr: 78464, Byte Offset: 28, FaultType: bit_flip, Mask: 00010000
Tick: 266277000, Cache Block Addr: 75520, Byte Offset: 5, FaultType: bit_flip, Mask: 00000100
Tick: 280215000, Cache Block Addr: 86464, Byte Offset: 61, FaultType: bit_flip, Mask: 00000100
Tick: 280806000, Cache Block Addr: 68800, Byte Offset: 8, FaultType: bit_flip, Mask: 00100000
Tick: 281898000, Cache Block Addr: 87360, Byte Offset: 18, FaultType: bit_flip, Mask: 01000000
Tick: 284239000, Cache Block Addr: 82304, Byte Offset: 63, FaultType: bit_flip, Mask: 00100000
Tick: 304219000, Cache Block Addr: 92288, Byte Offset: 35, FaultType: bit_flip, Mask: 00100000
Tick: 330551000, Cache Block Addr: 92352, Byte Offset: 46, FaultType: bit_flip, Mask: 00000100
Tick: 368870000, Cache Block Addr: 72320, Byte Offset: 51, FaultType: bit_flip, Mask: 00010000
Tick: 379866000, Cache Block Addr: 64448, Byte Offset: 10, FaultType: bit_flip, Mask: 00000001
Tick: 386661000, Cache Block Addr: 71744, Byte Offset: 27, FaultType: bit_flip, Mask: 00000100
Tick: 388580000, Cache Block Addr: 74624, Byte Offset: 33, FaultType: bit_flip, Mask: 00000001
Tick: 404318000, Cache Block Addr: 71168, Byte Offset: 53, FaultType: bit_flip, Mask: 00000010
Tick: 424639000, Cache Block Addr: 87808, Byte Offset: 17, FaultType: bit_flip, Mask: 00001000
