Tick: 58175000, Cache Block Addr: 90752, Byte Offset: 43, FaultType: bit_flip, Mask: 10000000
Tick: 59031000, Cache Block Addr: 99584, Byte Offset: 2, FaultType: bit_flip, Mask: 00000100
Tick: 69660000, Cache Block Addr: 100992, Byte Offset: 45, FaultType: bit_flip, Mask: 00001000
Tick: 69886000, Cache Block Addr: 101120, Byte Offset: 61, FaultType: bit_flip, Mask: 00000001
Tick: 70665000, Cache Block Addr: 113472, Byte Offset: 60, FaultType: bit_flip, Mask: 00001000
Tick: 73183000, Cache Block Addr: 86080, Byte Offset: 25, FaultType: bit_flip, Mask: 01000000
Tick: 75378000, Cache Block Addr: 90048, Byte Offset: 41, FaultType: bit_flip, Mask: 00001000
Tick: 75681000, Cache Block Addr: 101504, Byte Offset: 0, FaultType: bit_flip, Mask: 00010000
Tick: 77625000, Cache Block Addr: 91904, Byte Offset: 43, FaultType: bit_flip, Mask: 10000000
Tick: 82675000, Cache Block Addr: 119936, Byte Offset: 36, FaultType: bit_flip, Mask: 00001000
Tick: 83401000, Cache Block Addr: 125568, Byte Offset: 2, FaultType: bit_flip, Mask: 00000010
Tick: 86848000, Cache Block Addr: 112768, Byte Offset: 24, FaultType: bit_flip, Mask: 01000000
Tick: 98864000, Cache Block Addr: 64960, Byte Offset: 16, FaultType: bit_flip, Mask: 10000000
Tick: 106063000, Cache Block Addr: 125760, Byte Offset: 0, FaultType: bit_flip, Mask: 00100000
Tick: 115470000, Cache Block Addr: 83648, Byte Offset: 54, FaultType: bit_flip, Mask: 00010000
Tick: 120720000, Cache Block Addr: 67264, Byte Offset: 51, FaultType: bit_flip, Mask: 01000000
Tick: 125871000, Cache Block Addr: 64128, Byte Offset: 24, FaultType: bit_flip, Mask: 10000000
Tick: 148819000, Cache Block Addr: 84032, Byte Offset: 45, FaultType: bit_flip, Mask: 00100000
Tick: 154459000, Cache Block Addr: 121600, Byte Offset: 6, FaultType: bit_flip, Mask: 10000000
Tick: 176583000, Cache Block Addr: 75072, Byte Offset: 49, FaultType: bit_flip, Mask: 01000000
Tick: 177623000, Cache Block Addr: 70784, Byte Offset: 2, FaultType: bit_flip, Mask: 00000100
Tick: 182863000, Cache Block Addr: 123584, Byte Offset: 4, FaultType: bit_flip, Mask: 00000010
Tick: 196283000, Cache Block Addr: 122816, Byte Offset: 31, FaultType: bit_flip, Mask: 00000001
Tick: 200746000, Cache Block Addr: 67456, Byte Offset: 31, FaultType: bit_flip, Mask: 00010000
