Tick: 77466000, Cache Block Addr: 106816, Byte Offset: 0, FaultType: bit_flip, Mask: 01000000
Tick: 94080000, Cache Block Addr: 54848, Byte Offset: 0, FaultType: bit_flip, Mask: 00001000
Tick: 124431000, Cache Block Addr: 91008, Byte Offset: 38, FaultType: bit_flip, Mask: 01000000
Tick: 126616000, Cache Block Addr: 86592, Byte Offset: 31, FaultType: bit_flip, Mask: 10000000
Tick: 135579000, Cache Block Addr: 93632, Byte Offset: 54, FaultType: bit_flip, Mask: 01000000
Tick: 155133000, Cache Block Addr: 109952, Byte Offset: 38, FaultType: bit_flip, Mask: 01000000
Tick: 160760000, Cache Block Addr: 112960, Byte Offset: 21, FaultType: bit_flip, Mask: 00001000
Tick: 161960000, Cache Block Addr: 107264, Byte Offset: 61, FaultType: bit_flip, Mask: 01000000
Tick: 162045000, Cache Block Addr: 126912, Byte Offset: 60, FaultType: bit_flip, Mask: 00000001
Tick: 167547000, Cache Block Addr: 118656, Byte Offset: 22, FaultType: bit_flip, Mask: 01000000
Tick: 181497000, Cache Block Addr: 86016, Byte Offset: 46, FaultType: bit_flip, Mask: 00000001
Tick: 197217000, Cache Block Addr: 104448, Byte Offset: 17, FaultType: bit_flip, Mask: 00100000
Tick: 200956000, Cache Block Addr: 105408, Byte Offset: 7, FaultType: bit_flip, Mask: 00000001
Tick: 204689000, Cache Block Addr: 90240, Byte Offset: 15, FaultType: bit_flip, Mask: 00001000
Tick: 222576000, Cache Block Addr: 65088, Byte Offset: 39, FaultType: bit_flip, Mask: 00100000
Tick: 228765000, Cache Block Addr: 120704, Byte Offset: 57, FaultType: bit_flip, Mask: 00000100
Tick: 230199000, Cache Block Addr: 121024, Byte Offset: 22, FaultType: bit_flip, Mask: 00100000
Tick: 231042000, Cache Block Addr: 115648, Byte Offset: 55, FaultType: bit_flip, Mask: 10000000
Tick: 231091000, Cache Block Addr: 118208, Byte Offset: 28, FaultType: bit_flip, Mask: 00100000
Tick: 247837000, Cache Block Addr: 80896, Byte Offset: 38, FaultType: bit_flip, Mask: 00000010
Tick: 267294000, Cache Block Addr: 110912, Byte Offset: 50, FaultType: bit_flip, Mask: 00000100
Tick: 272027000, Cache Block Addr: 95104, Byte Offset: 26, FaultType: bit_flip, Mask: 00000001
Tick: 278112000, Cache Block Addr: 101440, Byte Offset: 10, FaultType: bit_flip, Mask: 00100000
Tick: 293279000, Cache Block Addr: 72640, Byte Offset: 61, FaultType: bit_flip, Mask: 00001000
Tick: 304849000, Cache Block Addr: 71168, Byte Offset: 39, FaultType: bit_flip, Mask: 00000001
