Tick: 163335000, Cache Block Addr: 423168, Byte Offset: 3, FaultType: bit_flip, Mask: 00100000
Tick: 170911000, Cache Block Addr: 269888, Byte Offset: 55, FaultType: bit_flip, Mask: 00000010
Tick: 727143000, Cache Block Addr: 424384, Byte Offset: 46, FaultType: bit_flip, Mask: 00010000
Tick: 829565000, Cache Block Addr: 424128, Byte Offset: 52, FaultType: bit_flip, Mask: 00000010
Tick: 1088080000, Cache Block Addr: 424896, Byte Offset: 57, FaultType: bit_flip, Mask: 00000100
Tick: 1099698000, Cache Block Addr: 424768, Byte Offset: 12, FaultType: bit_flip, Mask: 00000010
Tick: 1207137000, Cache Block Addr: 424704, Byte Offset: 26, FaultType: bit_flip, Mask: 00000001
Tick: 1210391000, Cache Block Addr: 424512, Byte Offset: 41, FaultType: bit_flip, Mask: 00000100
Tick: 1219259000, Cache Block Addr: 424768, Byte Offset: 0, FaultType: bit_flip, Mask: 00100000
Tick: 1224247000, Cache Block Addr: 424832, Byte Offset: 15, FaultType: bit_flip, Mask: 10000000
Tick: 1280944000, Cache Block Addr: 423872, Byte Offset: 47, FaultType: bit_flip, Mask: 00001000
Tick: 1488350000, Cache Block Addr: 423616, Byte Offset: 43, FaultType: bit_flip, Mask: 01000000
Tick: 1520073000, Cache Block Addr: 423552, Byte Offset: 31, FaultType: bit_flip, Mask: 01000000
Tick: 1753796000, Cache Block Addr: 423488, Byte Offset: 40, FaultType: bit_flip, Mask: 01000000
Tick: 1982059000, Cache Block Addr: 423808, Byte Offset: 44, FaultType: bit_flip, Mask: 10000000
Tick: 2000452000, Cache Block Addr: 423936, Byte Offset: 38, FaultType: bit_flip, Mask: 00000001
Tick: 2027448000, Cache Block Addr: 423488, Byte Offset: 44, FaultType: bit_flip, Mask: 10000000
Tick: 2076136000, Cache Block Addr: 424064, Byte Offset: 60, FaultType: bit_flip, Mask: 01000000
Tick: 2148869000, Cache Block Addr: 424064, Byte Offset: 54, FaultType: bit_flip, Mask: 00100000
Tick: 2302174000, Cache Block Addr: 453888, Byte Offset: 6, FaultType: bit_flip, Mask: 01000000
