Tick: 52104000, Cache Block Addr: 88512, Byte Offset: 46, FaultType: bit_flip, Mask: 10000000
Tick: 52128000, Cache Block Addr: 82304, Byte Offset: 60, FaultType: bit_flip, Mask: 00000001
Tick: 52407000, Cache Block Addr: 98304, Byte Offset: 34, FaultType: bit_flip, Mask: 10000000
Tick: 52433000, Cache Block Addr: 71936, Byte Offset: 60, FaultType: bit_flip, Mask: 00000010
Tick: 52562000, Cache Block Addr: 71040, Byte Offset: 22, FaultType: bit_flip, Mask: 00000001
Tick: 52955000, Cache Block Addr: 43584, Byte Offset: 20, FaultType: bit_flip, Mask: 00100000
Tick: 53096000, Cache Block Addr: 71808, Byte Offset: 35, FaultType: bit_flip, Mask: 00000100
Tick: 53179000, Cache Block Addr: 92736, Byte Offset: 15, FaultType: bit_flip, Mask: 00100000
Tick: 53577000, Cache Block Addr: 90112, Byte Offset: 51, FaultType: bit_flip, Mask: 00000100
Tick: 53632000, Cache Block Addr: 98048, Byte Offset: 33, FaultType: bit_flip, Mask: 00010000
Tick: 53646000, Cache Block Addr: 77120, Byte Offset: 56, FaultType: bit_flip, Mask: 00001000
Tick: 53703000, Cache Block Addr: 77952, Byte Offset: 43, FaultType: bit_flip, Mask: 00000100
Tick: 53704000, Cache Block Addr: 93120, Byte Offset: 27, FaultType: bit_flip, Mask: 10000000
Tick: 53776000, Cache Block Addr: 100352, Byte Offset: 21, FaultType: bit_flip, Mask: 00000100
Tick: 53831000, Cache Block Addr: 72064, Byte Offset: 23, FaultType: bit_flip, Mask: 00100000
Tick: 53980000, Cache Block Addr: 79040, Byte Offset: 56, FaultType: bit_flip, Mask: 10000000
Tick: 54100000, Cache Block Addr: 80320, Byte Offset: 19, FaultType: bit_flip, Mask: 00000010
Tick: 54110000, Cache Block Addr: 90048, Byte Offset: 20, FaultType: bit_flip, Mask: 00100000
Tick: 54172000, Cache Block Addr: 81472, Byte Offset: 63, FaultType: bit_flip, Mask: 00000100
Tick: 54253000, Cache Block Addr: 83200, Byte Offset: 12, FaultType: bit_flip, Mask: 01000000
Tick: 54296000, Cache Block Addr: 100352, Byte Offset: 2, FaultType: bit_flip, Mask: 00000100
Tick: 54338000, Cache Block Addr: 74816, Byte Offset: 25, FaultType: bit_flip, Mask: 00000010
Tick: 54375000, Cache Block Addr: 85312, Byte Offset: 2, FaultType: bit_flip, Mask: 00000100
Tick: 54399000, Cache Block Addr: 95104, Byte Offset: 40, FaultType: bit_flip, Mask: 01000000
Tick: 54487000, Cache Block Addr: 86464, Byte Offset: 17, FaultType: bit_flip, Mask: 00000001
Tick: 54589000, Cache Block Addr: 79424, Byte Offset: 63, FaultType: bit_flip, Mask: 00000010
Tick: 54721000, Cache Block Addr: 83136, Byte Offset: 43, FaultType: bit_flip, Mask: 00001000
Tick: 54966000, Cache Block Addr: 81664, Byte Offset: 25, FaultType: bit_flip, Mask: 00000100
Tick: 55408000, Cache Block Addr: 89472, Byte Offset: 14, FaultType: bit_flip, Mask: 10000000
Tick: 55729000, Cache Block Addr: 74112, Byte Offset: 55, FaultType: bit_flip, Mask: 00001000
Tick: 55947000, Cache Block Addr: 84480, Byte Offset: 18, FaultType: bit_flip, Mask: 00001000
Tick: 55995000, Cache Block Addr: 86336, Byte Offset: 48, FaultType: bit_flip, Mask: 00000010
Tick: 56119000, Cache Block Addr: 80960, Byte Offset: 12, FaultType: bit_flip, Mask: 10000000
