Tick: 87939000, Cache Block Addr: 100800, Byte Offset: 34, FaultType: bit_flip, Mask: 00100000
Tick: 116573000, Cache Block Addr: 72896, Byte Offset: 22, FaultType: bit_flip, Mask: 01000000
Tick: 117183000, Cache Block Addr: 82944, Byte Offset: 39, FaultType: bit_flip, Mask: 10000000
Tick: 125447000, Cache Block Addr: 74560, Byte Offset: 43, FaultType: bit_flip, Mask: 00010000
Tick: 126269000, Cache Block Addr: 89728, Byte Offset: 46, FaultType: bit_flip, Mask: 00001000
Tick: 133674000, Cache Block Addr: 92096, Byte Offset: 43, FaultType: bit_flip, Mask: 00100000
Tick: 135634000, Cache Block Addr: 84480, Byte Offset: 29, FaultType: bit_flip, Mask: 00000001
Tick: 135798000, Cache Block Addr: 82816, Byte Offset: 3, FaultType: bit_flip, Mask: 00100000
Tick: 153882000, Cache Block Addr: 102656, Byte Offset: 31, FaultType: bit_flip, Mask: 00100000
Tick: 172576000, Cache Block Addr: 63872, Byte Offset: 51, FaultType: bit_flip, Mask: 00000010
Tick: 190921000, Cache Block Addr: 79040, Byte Offset: 28, FaultType: bit_flip, Mask: 00010000
Tick: 204909000, Cache Block Addr: 110464, Byte Offset: 19, FaultType: bit_flip, Mask: 00000010
Tick: 235604000, Cache Block Addr: 64960, Byte Offset: 61, FaultType: bit_flip, Mask: 00000010
Tick: 242053000, Cache Block Addr: 125632, Byte Offset: 59, FaultType: bit_flip, Mask: 00000001
Tick: 243214000, Cache Block Addr: 69440, Byte Offset: 38, FaultType: bit_flip, Mask: 00100000
Tick: 276751000, Cache Block Addr: 121088, Byte Offset: 7, FaultType: bit_flip, Mask: 00001000
Tick: 277502000, Cache Block Addr: 113664, Byte Offset: 6, FaultType: bit_flip, Mask: 00100000
Tick: 279287000, Cache Block Addr: 125312, Byte Offset: 15, FaultType: bit_flip, Mask: 00001000
Tick: 287480000, Cache Block Addr: 126464, Byte Offset: 1, FaultType: bit_flip, Mask: 00000010
Tick: 290760000, Cache Block Addr: 121600, Byte Offset: 38, FaultType: bit_flip, Mask: 00000010
Tick: 298551000, Cache Block Addr: 124800, Byte Offset: 28, FaultType: bit_flip, Mask: 01000000
Tick: 304624000, Cache Block Addr: 64512, Byte Offset: 49, FaultType: bit_flip, Mask: 00000001
Tick: 316563000, Cache Block Addr: 74048, Byte Offset: 45, FaultType: bit_flip, Mask: 00100000
Tick: 328127000, Cache Block Addr: 108480, Byte Offset: 49, FaultType: bit_flip, Mask: 00001000
Tick: 331127000, Cache Block Addr: 83968, Byte Offset: 7, FaultType: bit_flip, Mask: 01000000
Tick: 333698000, Cache Block Addr: 86656, Byte Offset: 41, FaultType: bit_flip, Mask: 10000000
