Tick: 52080000, Cache Block Addr: 91200, Byte Offset: 58, FaultType: bit_flip, Mask: 00000001
Tick: 52080000, Cache Block Addr: 70400, Byte Offset: 33, FaultType: bit_flip, Mask: 00010000
Tick: 52086000, Cache Block Addr: 73152, Byte Offset: 36, FaultType: bit_flip, Mask: 00000001
Tick: 52088000, Cache Block Addr: 73152, Byte Offset: 13, FaultType: bit_flip, Mask: 01000000
Tick: 52089000, Cache Block Addr: 98240, Byte Offset: 6, FaultType: bit_flip, Mask: 00100000
Tick: 52104000, Cache Block Addr: 70976, Byte Offset: 49, FaultType: bit_flip, Mask: 00000100
Tick: 52124000, Cache Block Addr: 90880, Byte Offset: 4, FaultType: bit_flip, Mask: 00000001
Tick: 52126000, Cache Block Addr: 78976, Byte Offset: 4, FaultType: bit_flip, Mask: 00001000
Tick: 52143000, Cache Block Addr: 97472, Byte Offset: 45, FaultType: bit_flip, Mask: 00000010
Tick: 52147000, Cache Block Addr: 97088, Byte Offset: 39, FaultType: bit_flip, Mask: 00100000
Tick: 52154000, Cache Block Addr: 98880, Byte Offset: 54, FaultType: bit_flip, Mask: 10000000
Tick: 52159000, Cache Block Addr: 78528, Byte Offset: 46, FaultType: bit_flip, Mask: 00000010
Tick: 52172000, Cache Block Addr: 100544, Byte Offset: 38, FaultType: bit_flip, Mask: 00000100
Tick: 52174000, Cache Block Addr: 94144, Byte Offset: 57, FaultType: bit_flip, Mask: 00100000
Tick: 52176000, Cache Block Addr: 98944, Byte Offset: 31, FaultType: bit_flip, Mask: 00000100
Tick: 52185000, Cache Block Addr: 88832, Byte Offset: 49, FaultType: bit_flip, Mask: 00000100
Tick: 52202000, Cache Block Addr: 89536, Byte Offset: 25, FaultType: bit_flip, Mask: 10000000
Tick: 52206000, Cache Block Addr: 69760, Byte Offset: 1, FaultType: bit_flip, Mask: 00010000
Tick: 52207000, Cache Block Addr: 69440, Byte Offset: 45, FaultType: bit_flip, Mask: 00000100
Tick: 52209000, Cache Block Addr: 91264, Byte Offset: 3, FaultType: bit_flip, Mask: 00100000
Tick: 52210000, Cache Block Addr: 98432, Byte Offset: 62, FaultType: bit_flip, Mask: 01000000
Tick: 52218000, Cache Block Addr: 90368, Byte Offset: 58, FaultType: bit_flip, Mask: 00010000
Tick: 52230000, Cache Block Addr: 87744, Byte Offset: 9, FaultType: bit_flip, Mask: 00010000
