Tick: 71680000, Cache Block Addr: 476224, Byte Offset: 6, FaultType: bit_flip, Mask: 01000000
Tick: 90312000, Cache Block Addr: 485760, Byte Offset: 8, FaultType: bit_flip, Mask: 00001000
Tick: 93119000, Cache Block Addr: 490048, Byte Offset: 56, FaultType: bit_flip, Mask: 00000001
Tick: 112295000, Cache Block Addr: 411840, Byte Offset: 32, FaultType: bit_flip, Mask: 00100000
Tick: 121718000, Cache Block Addr: 493056, Byte Offset: 13, FaultType: bit_flip, Mask: 00001000
Tick: 134403000, Cache Block Addr: 500096, Byte Offset: 1, FaultType: bit_flip, Mask: 00000001
Tick: 144115000, Cache Block Addr: 482496, Byte Offset: 19, FaultType: bit_flip, Mask: 00000100
Tick: 149331000, Cache Block Addr: 481792, Byte Offset: 34, FaultType: bit_flip, Mask: 00000001
Tick: 150321000, Cache Block Addr: 497344, Byte Offset: 62, FaultType: bit_flip, Mask: 01000000
Tick: 162608000, Cache Block Addr: 489024, Byte Offset: 22, FaultType: bit_flip, Mask: 10000000
Tick: 178083000, Cache Block Addr: 490368, Byte Offset: 40, FaultType: bit_flip, Mask: 00000100
Tick: 188991000, Cache Block Addr: 497984, Byte Offset: 9, FaultType: bit_flip, Mask: 00000100
Tick: 217713000, Cache Block Addr: 505216, Byte Offset: 63, FaultType: bit_flip, Mask: 00000001
Tick: 224250000, Cache Block Addr: 514752, Byte Offset: 0, FaultType: bit_flip, Mask: 00010000
Tick: 229737000, Cache Block Addr: 514880, Byte Offset: 21, FaultType: bit_flip, Mask: 01000000
Tick: 245895000, Cache Block Addr: 471296, Byte Offset: 62, FaultType: bit_flip, Mask: 00010000
Tick: 259711000, Cache Block Addr: 476032, Byte Offset: 30, FaultType: bit_flip, Mask: 00100000
Tick: 268650000, Cache Block Addr: 472384, Byte Offset: 57, FaultType: bit_flip, Mask: 00001000
Tick: 275085000, Cache Block Addr: 479616, Byte Offset: 36, FaultType: bit_flip, Mask: 00000100
Tick: 291675000, Cache Block Addr: 491264, Byte Offset: 5, FaultType: bit_flip, Mask: 01000000
Tick: 317872000, Cache Block Addr: 523200, Byte Offset: 55, FaultType: bit_flip, Mask: 00010000
Tick: 318086000, Cache Block Addr: 517696, Byte Offset: 26, FaultType: bit_flip, Mask: 01000000
Tick: 319480000, Cache Block Addr: 479808, Byte Offset: 35, FaultType: bit_flip, Mask: 01000000
Tick: 321107000, Cache Block Addr: 479232, Byte Offset: 34, FaultType: bit_flip, Mask: 01000000
Tick: 321880000, Cache Block Addr: 470336, Byte Offset: 35, FaultType: bit_flip, Mask: 00001000
Tick: 330149000, Cache Block Addr: 523584, Byte Offset: 38, FaultType: bit_flip, Mask: 10000000
Tick: 330999000, Cache Block Addr: 476864, Byte Offset: 46, FaultType: bit_flip, Mask: 00100000
Tick: 341845000, Cache Block Addr: 492736, Byte Offset: 36, FaultType: bit_flip, Mask: 00100000
Tick: 346713000, Cache Block Addr: 477312, Byte Offset: 20, FaultType: bit_flip, Mask: 00010000
Tick: 369514000, Cache Block Addr: 491328, Byte Offset: 39, FaultType: bit_flip, Mask: 10000000
Tick: 378707000, Cache Block Addr: 505408, Byte Offset: 29, FaultType: bit_flip, Mask: 00000001
Tick: 380758000, Cache Block Addr: 526976, Byte Offset: 43, FaultType: bit_flip, Mask: 00010000
Tick: 391578000, Cache Block Addr: 516672, Byte Offset: 25, FaultType: bit_flip, Mask: 00000001
Tick: 411057000, Cache Block Addr: 484992, Byte Offset: 40, FaultType: bit_flip, Mask: 00000100
Tick: 411118000, Cache Block Addr: 532288, Byte Offset: 15, FaultType: bit_flip, Mask: 00000001
Tick: 413853000, Cache Block Addr: 478464, Byte Offset: 29, FaultType: bit_flip, Mask: 00000001
Tick: 429762000, Cache Block Addr: 487552, Byte Offset: 3, FaultType: bit_flip, Mask: 00000001
Tick: 433189000, Cache Block Addr: 486016, Byte Offset: 54, FaultType: bit_flip, Mask: 00000001
Tick: 437045000, Cache Block Addr: 487104, Byte Offset: 41, FaultType: bit_flip, Mask: 10000000
Tick: 450143000, Cache Block Addr: 524928, Byte Offset: 25, FaultType: bit_flip, Mask: 00010000
Tick: 453980000, Cache Block Addr: 502080, Byte Offset: 38, FaultType: bit_flip, Mask: 10000000
