Tick: 65810000, Cache Block Addr: 466304, Byte Offset: 19, FaultType: bit_flip, Mask: 00001000
Tick: 73863000, Cache Block Addr: 476224, Byte Offset: 62, FaultType: bit_flip, Mask: 01000000
Tick: 76360000, Cache Block Addr: 461888, Byte Offset: 61, FaultType: bit_flip, Mask: 01000000
Tick: 120285000, Cache Block Addr: 480960, Byte Offset: 60, FaultType: bit_flip, Mask: 00001000
Tick: 131497000, Cache Block Addr: 501824, Byte Offset: 48, FaultType: bit_flip, Mask: 00000001
Tick: 132324000, Cache Block Addr: 481088, Byte Offset: 60, FaultType: bit_flip, Mask: 00000100
Tick: 136152000, Cache Block Addr: 475200, Byte Offset: 3, FaultType: bit_flip, Mask: 00000100
Tick: 140462000, Cache Block Addr: 502720, Byte Offset: 32, FaultType: bit_flip, Mask: 00001000
Tick: 141184000, Cache Block Addr: 497088, Byte Offset: 27, FaultType: bit_flip, Mask: 00000010
Tick: 150603000, Cache Block Addr: 483008, Byte Offset: 13, FaultType: bit_flip, Mask: 10000000
Tick: 168373000, Cache Block Addr: 507200, Byte Offset: 41, FaultType: bit_flip, Mask: 00001000
Tick: 170301000, Cache Block Addr: 503296, Byte Offset: 16, FaultType: bit_flip, Mask: 01000000
Tick: 176324000, Cache Block Addr: 496768, Byte Offset: 9, FaultType: bit_flip, Mask: 00001000
Tick: 182185000, Cache Block Addr: 501888, Byte Offset: 0, FaultType: bit_flip, Mask: 10000000
Tick: 205023000, Cache Block Addr: 509760, Byte Offset: 26, FaultType: bit_flip, Mask: 00000010
Tick: 207600000, Cache Block Addr: 496704, Byte Offset: 22, FaultType: bit_flip, Mask: 00000010
Tick: 213460000, Cache Block Addr: 507136, Byte Offset: 34, FaultType: bit_flip, Mask: 01000000
Tick: 216083000, Cache Block Addr: 517504, Byte Offset: 16, FaultType: bit_flip, Mask: 00001000
Tick: 225942000, Cache Block Addr: 521792, Byte Offset: 44, FaultType: bit_flip, Mask: 00000001
